COUNTRY	CODE	Medals	Year
Australia	AUS	2	1896
Switzerland	CHE	3	1896
Austria	AUT	5	1896
Denmark	DNK	6	1896
Hungary	HUN	6	1896
United Kingdom	GBR	7	1896
France	FRA	11	1896
Germany	DEU	13	1896
United States	USA	20	1896
Greece	GRC	46	1896
Mexico	MEX	1	1900
Spain	ESP	1	1900
Sweden	SWE	1	1900
Canada	CAN	2	1900
Cuba	CUB	2	1900
India	IND	2	1900
Italy	ITA	4	1900
Netherlands	NLD	4	1900
Australia	AUS	5	1900
Hungary	HUN	5	1900
Norway	NOR	5	1900
Austria	AUT	6	1900
Denmark	DNK	6	1900
Germany	DEU	8	1900
Switzerland	CHE	9	1900
Belgium	BEL	15	1900
United Kingdom	GBR	30	1900
United States	USA	47	1900
France	FRA	101	1900
Austria	AUT	1	1904
Greece	GRC	2	1904
Switzerland	CHE	2	1904
United Kingdom	GBR	2	1904
Hungary	HUN	4	1904
Canada	CAN	6	1904
Cuba	CUB	9	1904
Germany	DEU	13	1904
United States	USA	239	1904
Austria	AUT	1	1908
Netherlands	NLD	2	1908
South Africa	ZAF	2	1908
Greece	GRC	3	1908
Russia	RUS	3	1908
Italy	ITA	4	1908
Australia	AUS	5	1908
Denmark	DNK	5	1908
Finland	FIN	5	1908
Belgium	BEL	8	1908
Norway	NOR	8	1908
Hungary	HUN	9	1908
Germany	DEU	13	1908
Canada	CAN	16	1908
France	FRA	19	1908
Sweden	SWE	25	1908
United States	USA	47	1908
United Kingdom	GBR	146	1908
Greece	GRC	2	1912
Netherlands	NLD	3	1912
Austria	AUT	4	1912
Russia	RUS	5	1912
Belgium	BEL	6	1912
Italy	ITA	6	1912
South Africa	ZAF	6	1912
Australia	AUS	7	1912
Canada	CAN	8	1912
Hungary	HUN	8	1912
Norway	NOR	9	1912
Denmark	DNK	12	1912
France	FRA	14	1912
Germany	DEU	25	1912
Finland	FIN	26	1912
United Kingdom	GBR	41	1912
United States	USA	63	1912
Sweden	SWE	65	1912
Greece	GRC	1	1920
Luxembourg	LUX	1	1920
New Zealand	NZL	1	1920
Czech Republic	CZE	2	1920
Japan	JPN	2	1920
Spain	ESP	2	1920
Australia	AUS	3	1920
Brazil	BRA	3	1920
Estonia	EST	3	1920
Canada	CAN	9	1920
South Africa	ZAF	10	1920
Netherlands	NLD	11	1920
Switzerland	CHE	11	1920
Denmark	DNK	13	1920
Italy	ITA	23	1920
Norway	NOR	31	1920
Finland	FIN	34	1920
Belgium	BEL	36	1920
France	FRA	41	1920
United Kingdom	GBR	43	1920
Sweden	SWE	64	1920
United States	USA	95	1920
Haiti	HTI	1	1924
Japan	JPN	1	1924
New Zealand	NZL	1	1924
Portugal	PRT	1	1924
Romania	ROU	1	1924
Uruguay	URY	1	1924
Macedonia	MKD	2	1924
Poland	POL	2	1924
South Africa	ZAF	3	1924
Austria	AUT	4	1924
Canada	CAN	4	1924
Argentina	ARG	6	1924
Australia	AUS	6	1924
Estonia	EST	6	1924
Denmark	DNK	9	1924
Hungary	HUN	9	1924
Czech Republic	CZE	10	1924
Netherlands	NLD	10	1924
Norway	NOR	10	1924
Belgium	BEL	13	1924
Italy	ITA	16	1924
Switzerland	CHE	25	1924
Sweden	SWE	29	1924
United Kingdom	GBR	34	1924
Finland	FIN	37	1924
France	FRA	38	1924
United States	USA	99	1924
Chile	CHL	1	1928
Haiti	HTI	1	1928
India	IND	1	1928
Ireland	IRL	1	1928
New Zealand	NZL	1	1928
Philippines	PHL	1	1928
Portugal	PRT	1	1928
Spain	ESP	1	1928
Uruguay	URY	1	1928
Austria	AUT	3	1928
Belgium	BEL	3	1928
South Africa	ZAF	3	1928
Australia	AUS	4	1928
Egypt	EGY	4	1928
Norway	NOR	4	1928
Estonia	EST	5	1928
Japan	JPN	5	1928
Macedonia	MKD	5	1928
Poland	POL	5	1928
Denmark	DNK	6	1928
Argentina	ARG	7	1928
Czech Republic	CZE	9	1928
Hungary	HUN	9	1928
Canada	CAN	15	1928
Switzerland	CHE	15	1928
Italy	ITA	19	1928
Netherlands	NLD	19	1928
United Kingdom	GBR	20	1928
France	FRA	21	1928
Finland	FIN	25	1928
Sweden	SWE	25	1928
Germany	DEU	31	1928
United States	USA	56	1928
India	IND	1	1932
Latvia	LVA	1	1932
New Zealand	NZL	1	1932
Spain	ESP	1	1932
Switzerland	CHE	1	1932
Uruguay	URY	1	1932
Ireland	IRL	2	1932
Mexico	MEX	2	1932
Philippines	PHL	3	1932
Argentina	ARG	4	1932
Czech Republic	CZE	4	1932
Australia	AUS	5	1932
Austria	AUT	5	1932
South Africa	ZAF	5	1932
Denmark	DNK	6	1932
Netherlands	NLD	7	1932
Poland	POL	7	1932
Canada	CAN	15	1932
Hungary	HUN	15	1932
United Kingdom	GBR	16	1932
Japan	JPN	18	1932
France	FRA	19	1932
Germany	DEU	20	1932
Sweden	SWE	23	1932
Finland	FIN	25	1932
Italy	ITA	36	1932
United States	USA	103	1932
Australia	AUS	1	1936
India	IND	1	1936
Macedonia	MKD	1	1936
New Zealand	NZL	1	1936
Philippines	PHL	1	1936
Portugal	PRT	1	1936
Romania	ROU	1	1936
South Africa	ZAF	1	1936
Belgium	BEL	2	1936
Latvia	LVA	2	1936
Turkey	TUR	2	1936
Mexico	MEX	3	1936
Denmark	DNK	5	1936
Egypt	EGY	5	1936
Norway	NOR	6	1936
Poland	POL	6	1936
Argentina	ARG	7	1936
Estonia	EST	7	1936
Czech Republic	CZE	8	1936
Canada	CAN	9	1936
Austria	AUT	13	1936
United Kingdom	GBR	14	1936
Switzerland	CHE	15	1936
Hungary	HUN	16	1936
Netherlands	NLD	17	1936
Japan	JPN	18	1936
Finland	FIN	19	1936
France	FRA	19	1936
Sweden	SWE	20	1936
Italy	ITA	22	1936
United States	USA	56	1936
Germany	DEU	89	1936
Brazil	BRA	1	1948
Cuba	CUB	1	1948
India	IND	1	1948
Iran	IRN	1	1948
Peru	PER	1	1948
Poland	POL	1	1948
Puerto Rico	PRI	1	1948
Spain	ESP	1	1948
Sri Lanka	LKA	1	1948
Trinidad and Tobago	TTO	1	1948
"Korea, South"	PRK	2	1948
Macedonia	MKD	2	1948
Panama	PAN	2	1948
Portugal	PRT	2	1948
Uruguay	URY	2	1948
Canada	CAN	3	1948
Jamaica	JAM	3	1948
Austria	AUT	4	1948
South Africa	ZAF	4	1948
Egypt	EGY	5	1948
Mexico	MEX	5	1948
Argentina	ARG	7	1948
Belgium	BEL	7	1948
Norway	NOR	7	1948
Czech Republic	CZE	11	1948
Turkey	TUR	12	1948
Australia	AUS	13	1948
Netherlands	NLD	16	1948
Denmark	DNK	20	1948
Finland	FIN	20	1948
Switzerland	CHE	20	1948
United Kingdom	GBR	23	1948
Hungary	HUN	27	1948
Italy	ITA	27	1948
France	FRA	29	1948
Sweden	SWE	44	1948
United States	USA	84	1948
Bulgaria	BGR	1	1952
Egypt	EGY	1	1952
Ireland	IRL	1	1952
Luxembourg	LUX	1	1952
Mexico	MEX	1	1952
Portugal	PRT	1	1952
Spain	ESP	1	1952
Venezuela	VEN	1	1952
Austria	AUT	2	1952
Chile	CHL	2	1952
India	IND	2	1952
"Korea, South"	PRK	2	1952
Lebanon	LBN	2	1952
Trinidad and Tobago	TTO	2	1952
Uruguay	URY	2	1952
Brazil	BRA	3	1952
Canada	CAN	3	1952
Macedonia	MKD	3	1952
New Zealand	NZL	3	1952
Turkey	TUR	3	1952
Belgium	BEL	4	1952
Poland	POL	4	1952
Romania	ROU	4	1952
Argentina	ARG	5	1952
Jamaica	JAM	5	1952
Netherlands	NLD	5	1952
Norway	NOR	5	1952
Denmark	DNK	6	1952
Iran	IRN	7	1952
Japan	JPN	9	1952
South Africa	ZAF	10	1952
Australia	AUS	11	1952
United Kingdom	GBR	11	1952
Czech Republic	CZE	13	1952
Switzerland	CHE	14	1952
France	FRA	18	1952
Italy	ITA	21	1952
Finland	FIN	22	1952
Germany	DEU	24	1952
Sweden	SWE	35	1952
Hungary	HUN	42	1952
Russia	RUS	71	1952
United States	USA	76	1952
"Bahamas, The"	BHM	1	1956
Brazil	BRA	1	1956
Greece	GRC	1	1956
Iceland	ISL	1	1956
India	IND	1	1956
Pakistan	PAK	1	1956
Switzerland	CHE	1	1956
Uruguay	URY	1	1956
Argentina	ARG	2	1956
Austria	AUT	2	1956
Belgium	BEL	2	1956
"Korea, South"	PRK	2	1956
Mexico	MEX	2	1956
New Zealand	NZL	2	1956
Macedonia	MKD	3	1956
Norway	NOR	3	1956
Chile	CHL	4	1956
Denmark	DNK	4	1956
South Africa	ZAF	4	1956
Bulgaria	BGR	5	1956
Iran	IRN	5	1956
Ireland	IRL	5	1956
Canada	CAN	6	1956
Czech Republic	CZE	6	1956
Turkey	TUR	7	1956
Poland	POL	9	1956
Romania	ROU	13	1956
France	FRA	14	1956
Finland	FIN	15	1956
Japan	JPN	19	1956
Sweden	SWE	19	1956
United Kingdom	GBR	24	1956
Italy	ITA	25	1956
Germany	DEU	26	1956
Hungary	HUN	26	1956
Australia	AUS	35	1956
United States	USA	74	1956
Russia	RUS	98	1956
Canada	CAN	1	1960
China	CHN	1	1960
Ethiopia	ETH	1	1960
Ghana	GHA	1	1960
Greece	GRC	1	1960
India	IND	1	1960
Iraq	IRQ	1	1960
Mexico	MEX	1	1960
Morocco	MAR	1	1960
Norway	NOR	1	1960
Portugal	PRT	1	1960
Singapore	SGP	1	1960
Spain	ESP	1	1960
Venezuela	VEN	1	1960
Argentina	ARG	2	1960
Austria	AUT	2	1960
Brazil	BRA	2	1960
Egypt	EGY	2	1960
Macedonia	MKD	2	1960
Pakistan	PAK	2	1960
Netherlands	NLD	3	1960
New Zealand	NZL	3	1960
South Africa	ZAF	3	1960
Belgium	BEL	4	1960
Iran	IRN	4	1960
Finland	FIN	5	1960
France	FRA	5	1960
Denmark	DNK	6	1960
Sweden	SWE	6	1960
Switzerland	CHE	6	1960
Bulgaria	BGR	7	1960
Czech Republic	CZE	8	1960
Turkey	TUR	9	1960
Romania	ROU	10	1960
Japan	JPN	18	1960
United Kingdom	GBR	20	1960
Hungary	HUN	21	1960
Poland	POL	21	1960
Australia	AUS	22	1960
Italy	ITA	36	1960
Germany	DEU	42	1960
United States	USA	71	1960
Russia	RUS	103	1960
Argentina	ARG	1	1964
"Bahamas, The"	BHM	1	1964
Brazil	BRA	1	1964
Cuba	CUB	1	1964
Ethiopia	ETH	1	1964
Ghana	GHA	1	1964
India	IND	1	1964
Ireland	IRL	1	1964
Kenya	KEN	1	1964
Mexico	MEX	1	1964
Nigeria	NGA	1	1964
Pakistan	PAK	1	1964
Philippines	PHL	1	1964
Uruguay	URY	1	1964
Iran	IRN	2	1964
Tunisia	TUN	2	1964
Belgium	BEL	3	1964
"Korea, South"	PRK	3	1964
Trinidad and Tobago	TTO	3	1964
Canada	CAN	4	1964
Switzerland	CHE	4	1964
Finland	FIN	5	1964
Macedonia	MKD	5	1964
New Zealand	NZL	5	1964
Denmark	DNK	6	1964
Turkey	TUR	6	1964
Sweden	SWE	8	1964
Bulgaria	BGR	10	1964
Netherlands	NLD	10	1964
Romania	ROU	12	1964
Czech Republic	CZE	14	1964
France	FRA	15	1964
Australia	AUS	18	1964
United Kingdom	GBR	18	1964
Hungary	HUN	22	1964
Poland	POL	23	1964
Italy	ITA	27	1964
Japan	JPN	29	1964
Germany	DEU	50	1964
United States	USA	90	1964
Russia	RUS	96	1964
Cameroon	CMR	1	1968
China	CHN	1	1968
Greece	GRC	1	1968
India	IND	1	1968
Jamaica	JAM	1	1968
Pakistan	PAK	1	1968
Venezuela	VEN	1	1968
Argentina	ARG	2	1968
Belgium	BEL	2	1968
Ethiopia	ETH	2	1968
"Korea, South"	PRK	2	1968
Norway	NOR	2	1968
Tunisia	TUN	2	1968
Turkey	TUR	2	1968
Uganda	UGA	2	1968
Brazil	BRA	3	1968
New Zealand	NZL	3	1968
Austria	AUT	4	1968
Cuba	CUB	4	1968
Finland	FIN	4	1968
Mongolia	MNG	4	1968
Sweden	SWE	4	1968
Canada	CAN	5	1968
Iran	IRN	5	1968
Switzerland	CHE	5	1968
Netherlands	NLD	7	1968
Denmark	DNK	8	1968
Macedonia	MKD	8	1968
Bulgaria	BGR	9	1968
Kenya	KEN	9	1968
Mexico	MEX	9	1968
Czech Republic	CZE	13	1968
United Kingdom	GBR	13	1968
France	FRA	15	1968
Romania	ROU	15	1968
Italy	ITA	16	1968
Australia	AUS	17	1968
Poland	POL	18	1968
Japan	JPN	25	1968
Hungary	HUN	32	1968
Germany	DEU	51	1968
Russia	RUS	91	1968
United States	USA	107	1968
Argentina	ARG	1	1972
Denmark	DNK	1	1972
Ghana	GHA	1	1972
India	IND	1	1972
Jamaica	JAM	1	1972
"Korea, South"	PRK	1	1972
Lebanon	LBN	1	1972
Mexico	MEX	1	1972
Mongolia	MNG	1	1972
Niger	NER	1	1972
Nigeria	NGA	1	1972
Pakistan	PAK	1	1972
Spain	ESP	1	1972
Tunisia	TUN	1	1972
Turkey	TUR	1	1972
Belgium	BEL	2	1972
Brazil	BRA	2	1972
Ethiopia	ETH	2	1972
Greece	GRC	2	1972
Uganda	UGA	2	1972
Austria	AUT	3	1972
Colombia	COL	3	1972
Iran	IRN	3	1972
New Zealand	NZL	3	1972
Switzerland	CHE	3	1972
Norway	NOR	4	1972
Canada	CAN	5	1972
"Korea, North"	KOR	5	1972
Macedonia	MKD	5	1972
Netherlands	NLD	5	1972
Cuba	CUB	8	1972
Czech Republic	CZE	8	1972
Finland	FIN	8	1972
Kenya	KEN	9	1972
France	FRA	13	1972
Romania	ROU	16	1972
Sweden	SWE	16	1972
Australia	AUS	17	1972
Italy	ITA	18	1972
United Kingdom	GBR	18	1972
Bulgaria	BGR	21	1972
Poland	POL	21	1972
Japan	JPN	29	1972
Hungary	HUN	35	1972
United States	USA	94	1972
Russia	RUS	99	1972
Germany	DEU	106	1972
Austria	AUT	1	1976
Bermuda	BMU	1	1976
Mongolia	MNG	1	1976
Pakistan	PAK	1	1976
Puerto Rico	PRI	1	1976
Thailand	THA	1	1976
Trinidad and Tobago	TTO	1	1976
Venezuela	VEN	1	1976
Brazil	BRA	2	1976
Iran	IRN	2	1976
Jamaica	JAM	2	1976
"Korea, North"	KOR	2	1976
Mexico	MEX	2	1976
Norway	NOR	2	1976
Portugal	PRT	2	1976
Spain	ESP	2	1976
Denmark	DNK	3	1976
New Zealand	NZL	4	1976
Switzerland	CHE	4	1976
Australia	AUS	5	1976
Netherlands	NLD	5	1976
Sweden	SWE	5	1976
Belgium	BEL	6	1976
Finland	FIN	6	1976
"Korea, South"	PRK	6	1976
Czech Republic	CZE	8	1976
Macedonia	MKD	8	1976
France	FRA	9	1976
Canada	CAN	11	1976
Cuba	CUB	13	1976
Italy	ITA	13	1976
United Kingdom	GBR	13	1976
Bulgaria	BGR	22	1976
Hungary	HUN	22	1976
Japan	JPN	25	1976
Poland	POL	26	1976
Romania	ROU	27	1976
United States	USA	94	1976
Russia	RUS	125	1976
Germany	DEU	129	1976
Belgium	BEL	1	1980
Guyana	GUY	1	1980
India	IND	1	1980
Lebanon	LBN	1	1980
Uganda	UGA	1	1980
Venezuela	VEN	1	1980
Zimbabwe	ZWE	1	1980
Ireland	IRL	2	1980
Switzerland	CHE	2	1980
Tanzania	TZA	2	1980
Greece	GRC	3	1980
Jamaica	JAM	3	1980
Netherlands	NLD	3	1980
Austria	AUT	4	1980
Brazil	BRA	4	1980
Ethiopia	ETH	4	1980
Mexico	MEX	4	1980
Mongolia	MNG	4	1980
Denmark	DNK	5	1980
"Korea, North"	KOR	5	1980
Spain	ESP	6	1980
Finland	FIN	8	1980
Australia	AUS	9	1980
Macedonia	MKD	9	1980
Sweden	SWE	12	1980
Czech Republic	CZE	14	1980
France	FRA	14	1980
Italy	ITA	15	1980
Cuba	CUB	20	1980
United Kingdom	GBR	21	1980
Romania	ROU	25	1980
Hungary	HUN	32	1980
Poland	POL	32	1980
Bulgaria	BGR	41	1980
Germany	DEU	126	1980
Russia	RUS	195	1980
Cameroon	CMR	1	1984
Colombia	COL	1	1984
Dominican Republic	DOM	1	1984
Egypt	EGY	1	1984
Iceland	ISL	1	1984
Ireland	IRL	1	1984
Pakistan	PAK	1	1984
Peru	PER	1	1984
Syria	SYR	1	1984
Taiwan	TWN	1	1984
Thailand	THA	1	1984
Zambia	ZMB	1	1984
Algeria	DZA	2	1984
Greece	GRC	2	1984
Morocco	MAR	2	1984
Nigeria	NGA	2	1984
Puerto Rico	PRI	2	1984
Austria	AUT	3	1984
Jamaica	JAM	3	1984
Kenya	KEN	3	1984
Norway	NOR	3	1984
Portugal	PRT	3	1984
Turkey	TUR	3	1984
Venezuela	VEN	3	1984
Belgium	BEL	4	1984
Spain	ESP	5	1984
Denmark	DNK	6	1984
Mexico	MEX	6	1984
Brazil	BRA	8	1984
Switzerland	CHE	8	1984
New Zealand	NZL	11	1984
Finland	FIN	12	1984
Netherlands	NLD	13	1984
Macedonia	MKD	18	1984
"Korea, South"	PRK	19	1984
Sweden	SWE	19	1984
Australia	AUS	24	1984
France	FRA	28	1984
China	CHN	32	1984
Italy	ITA	32	1984
Japan	JPN	32	1984
United Kingdom	GBR	37	1984
Canada	CAN	44	1984
Romania	ROU	53	1984
Germany	DEU	59	1984
United States	USA	174	1984
