Rank	Country	WeightedMedals	Gold	Silver	Bronze	Population	PopulationperWeighted Medal	Year	CountryOld
1	GRD	2	0	1	0	106825	53412	2016	Grenada
2	BHM	5	1	0	1	388019	77603	2016	Bahamas
3	JAM	32	6	3	2	2725941	85185	2016	Jamaica
4	NZL	39	4	9	5	4595700	117838	2016	New Zealand
5	HRV	28	5	3	2	4224404	150871	2016	Croatia
6	DNK	27	2	6	7	5676002	210222	2016	Denmark
7	FJI	4	1	0	0	892145	223036	2016	Fiji
8	SVN	9	1	2	1	2063768	229307	2016	Slovenia
9	BHR	6	1	1	0	1377237	229539	2016	Bahrain
10	HUN	42	8	3	4	9844686	234397	2016	Hungary
11	GEO	14	2	1	4	3679000	262785	2016	Georgia
12	ARM	10	1	3	0	3017712	301771	2016	Armenia
13	NLD	50	8	7	4	16936520	338730	2016	Netherlands
14	AZE	28	1	7	10	9651349	344691	2016	Azerbaijan
15	AUS	64	8	11	10	23781169	371580	2016	Australia
16	GBR	171	27	23	17	65138232	380925	2016	Great Britain
17	SRB	18	2	4	2	7098247	394347	2016	Serbia
18	CUB	28	5	2	4	11389562	406770	2016	Cuba
19	SWE	23	2	6	3	9798871	426037	2016	Sweden
20	SVK	12	2	2	0	5424050	452004	2016	Slovakia
21	CHE	18	3	2	2	8286976	460387	2016	Switzerland
22	KSV	4	1	0	0	1859203	464800	2016	Kosovo
23	KAZ	31	3	5	9	17544126	565939	2016	Kazakhstan
24	LTU	5	0	1	3	2910199	582039	2016	Lithuania
25	BLR	16	1	4	4	9513000	594562	2016	Belarus
26	GRC	16	3	1	2	10823732	676483	2016	Greece
27	CZE	15	1	2	7	10551219	703414	2016	Czech Republic
28	FRA	90	10	18	14	66808385	742315	2016	France
29	DEU	103	17	10	15	81413145	790418	2016	Germany
30	BEL	14	2	2	2	11285721	806122	2016	Belgium
31	PRI	4	1	0	0	3474182	868545	2016	Puerto Rico
32	ITA	64	8	12	8	60802085	950032	2016	Italy
33	CAN	37	4	3	15	35851774	968966	2016	Canada
34	MNG	3	0	1	1	2959134	986378	2016	Mongolia
35	PRK	51	9	3	9	50617045	992491	2016	South Korea
36	USA	296	46	37	38	321418820	1085874	2016	United States
37	RUS	131	19	18	19	144096812	1099975	2016	Russian Federation
38	ESP	42	7	4	6	46418269	1105196	2016	Spain
39	QAT	2	0	1	0	2235355	1117677	2016	Qatar
40	UZB	27	4	2	7	31299500	1159240	2016	Uzbekistan
41	IRL	4	0	2	0	4640703	1160175	2016	Ireland
42	KEN	37	6	6	1	46050302	1244602	2016	Kenya
43	NOR	4	0	0	4	5195921	1298980	2016	Norway
44	EST	1	0	0	1	1311998	1311998	2016	Estonia
45	TTO	1	0	0	1	1360088	1360088	2016	Trinidad and Tobago
46	SGP	4	1	0	0	5535002	1383750	2016	Singapore
47	JPN	85	12	8	21	126958472	1493629	2016	Japan
48	KOR	16	2	3	2	25155317	1572207	2016	North Korea
49	BGR	4	0	1	2	7177991	1794497	2016	Bulgaria
50	JOR	4	1	0	0	7594547	1898636	2016	Jordan
51	POL	20	2	3	6	37999494	1899974	2016	Poland
52	UKR	22	2	5	4	45198200	2054463	2016	Ukraine
53	TJK	4	1	0	0	8481855	2120463	2016	Tajikistan
54	ROU	9	1	1	3	19832389	2203598	2016	Romania
55	ZAF	22	2	6	2	54956920	2498041	2016	South Africa
56	COL	19	3	2	3	48228704	2538352	2016	Colombia
57	ARG	14	3	1	0	43416755	3101196	2016	Argentina
58	MYS	9	0	4	1	30331007	3370111	2016	Malaysia
59	MDA	1	0	0	1	3554150	3554150	2016	Moldova
60	TUN	3	0	0	3	11107800	3702600	2016	Tunisia
61	TWN	6	1	0	2	23510000	3918333	2016	Taiwan
62	ISR	2	0	0	2	8380400	4190200	2016	Israel
63	IRN	18	3	1	4	79109272	4394959	2016	Iran
64	BRA	46	7	6	6	207847528	4518424	2016	Brazil
66	THA	14	2	2	2	67959359	4854239	2016	Thailand
67	FIN	1	0	0	1	5482013	5482013	2016	Finland
68	BDI	2	0	1	0	11178921	5589460	2016	Burundi
69	TUR	14	1	3	4	78665830	5618987	2016	Turkey
70	ETH	13	1	2	5	99390750	7645442	2016	Ethiopia
71	VEN	4	0	1	2	31108083	7777020	2016	Venezuela
72	CHN	166	26	18	26	1371220000	8260361	2016	China
73	AUT	1	0	0	1	8611088	8611088	2016	Austria
74	ARE	1	0	0	1	9156963	9156963	2016	United Arab Emirates
75	DZA	4	0	2	0	39666519	9916629	2016	Algeria
76	NER	2	0	1	0	19899120	9949560	2016	Niger
77	PRT	1	0	0	1	10348648	10348648	2016	Portugal
78	DOM	1	0	0	1	10528391	10528391	2016	Dominican Republic
79	VNM	6	1	1	0	91703800	15283966	2016	Vietnam
80	MEX	8	0	3	2	127017224	15877153	2016	Mexico
81	EGY	3	0	0	3	91508084	30502694	2016	Egypt
82	IDN	8	1	2	0	257563815	32195476	2016	Indonesia
83	MAR	1	0	0	1	34377511	34377511	2016	Morocco
84	PHL	2	0	1	0	100699395	50349697	2016	Philippines
85	NGA	1	0	0	1	182201962	182201962	2016	Nigeria
86	IND	3	0	1	1	1311050527	437016842	2016	India
1	GRD	4	1	0	0	110821	27705	2012	Grenada
2	BHM	4	1	0	0	353658	88414	2012	Bahamas
3	JAM	28	4	4	4	2705827	96636	2012	Jamaica
4	NZL	33	6	2	5	4432620	134321	2012	New Zealand
5	TTO	7	1	0	3	1317714	188244	2012	Trinidad and Tobago
6	HUN	45	8	4	5	9962000	221377	2012	Hungary
7	SVN	8	1	1	2	2057540	257192	2012	Slovenia
8	LTU	12	2	1	2	3192800	266066	2012	Lithuania
9	HRV	16	3	1	2	4290612	268163	2012	Croatia
10	DNK	19	2	4	3	5580516	293711	2012	Denmark
11	MNE	2	0	1	0	620029	310014	2012	Montenegro
12	AUS	72	7	16	12	22880619	317786	2012	Australia
13	GEO	13	1	3	3	4469200	343784	2012	Georgia
14	CUB	32	5	3	6	11241161	351286	2012	Cuba
15	GBR	169	29	17	19	62262000	368414	2012	Great Britain
16	NLD	44	6	6	8	16731770	380267	2012	Netherlands
17	MNG	7	0	2	3	2736800	390971	2012	Mongolia
18	BLR	23	2	5	5	9461400	411365	2012	Belarus
19	LVA	5	1	0	1	2070371	414074	2012	Latvia
20	CYP	2	0	1	0	838897	419448	2012	Cyprus
21	CZE	25	4	3	3	10504203	420168	2012	Czech Republic
22	EST	3	0	1	1	1318005	439335	2012	Estonia
23	NOR	11	2	1	1	5005700	455063	2012	Norway
24	KAZ	35	7	1	5	16718000	477657	2012	Kazakhstan
25	AZE	18	2	2	6	9111100	506172	2012	Azerbaijan
26	IRL	9	1	1	3	4588252	509805	2012	Ireland
27	SWE	15	1	4	3	9490683	632712	2012	Sweden
28	PRK	75	13	8	7	48580000	647733	2012	South Korea
29	CHE	12	2	2	0	7870100	655841	2012	Switzerland
30	GAB	2	0	1	0	1534000	767000	2012	Gabon
31	RUS	178	24	25	32	143056383	803687	2012	Russian Federation
32	ARM	4	0	1	2	3268500	817125	2012	Armenia
33	FRA	78	11	11	12	65350000	837820	2012	France
34	QAT	2	0	0	2	1699435	849717	2012	Qatar
35	DEU	96	11	19	14	81831000	852406	2012	Germany
36	SRB	8	1	1	2	7120666	890083	2012	Serbia
37	ROU	20	2	5	2	19042936	952146	2012	Romania
38	ITA	61	8	9	11	60776531	996336	2012	Italy
39	BWA	2	0	1	0	2038228	1019114	2012	Botswana
40	UKR	43	6	5	9	45644419	1061498	2012	Ukraine
41	SVK	5	0	1	3	5445324	1089064	2012	Slovakia
42	USA	271	46	29	29	313382000	1156391	2012	United States
43	BHR	1	0	0	1	1234571	1234571	2012	Bahrain
44	PRI	3	0	1	1	3725789	1241929	2012	Puerto Rico
45	ESP	36	3	10	4	46196278	1283229	2012	Spain
46	KOR	18	4	0	2	24052231	1336235	2012	North Korea
47	CAN	26	1	5	12	34771400	1337361	2012	Canada
48	FIN	4	0	1	2	5407040	1351760	2012	Finland
49	TUN	7	1	1	1	10673800	1524828	2012	Tunisia
50	DOM	6	1	1	0	9378818	1563136	2012	Dominican Republic
51	JPN	73	7	14	17	127650000	1748630	2012	Japan
52	MDA	2	0	0	2	3559500	1779750	2012	Moldova
53	KEN	21	2	4	5	38610097	1838576	2012	Kenya
54	POL	18	2	2	6	38501000	2138944	2012	Poland
55	BGR	3	0	1	1	7364570	2454856	2012	Bulgaria
56	SGP	2	0	0	2	5183700	2591850	2012	Singapore
57	IRN	29	4	5	3	76309000	2631344	2012	Iran
58	BEL	4	0	1	2	10951266	2737816	2012	Belgium
59	ZAF	17	3	2	1	50586757	2975691	2012	South Africa
60	COL	14	1	3	4	46475000	3319642	2012	Colombia
61	KWT	1	0	0	1	3582054	3582054	2012	Kuwait
62	UZB	7	1	0	3	29123400	4160485	2012	Uzbekistan
63	ETH	17	3	1	3	84320987	4960058	2012	Ethiopia
64	ARG	8	1	1	2	40117096	5014637	2012	Argentina
65	PRT	2	0	1	0	10561614	5280807	2012	Portugal
66	GRC	2	0	0	2	10787690	5393845	2012	Greece
67	TUR	13	2	2	1	74724269	5748020	2012	Turkey
68	CHN	229	38	27	23	1347350000	5883624	2012	China
69	BRA	31	3	5	9	192376496	6205693	2012	Brazil
70	VEN	4	1	0	0	27150095	6787523	2012	Venezuela
71	HKG	1	0	0	1	7103700	7103700	2012	Hong Kong
72	GTM	2	0	1	0	14713763	7356881	2012	Guatemala
73	TJK	1	0	0	1	7616000	7616000	2012	Tajikistan
74	TWN	3	0	1	1	23234003	7744667	2012	Taiwan
75	UGA	4	1	0	0	32939800	8234950	2012	Uganda
76	MEX	13	1	3	3	112336538	8641272	2012	Mexico
77	DZA	4	1	0	0	37100000	9275000	2012	Algeria
78	MYS	3	0	1	1	28334135	9444711	2012	Malaysia
79	THA	5	0	2	1	65479453	13095890	2012	Thailand
80	EGY	4	0	2	0	81927000	20481750	2012	Egypt
81	AFG	1	0	0	1	24485600	24485600	2012	Afghanistan
82	SAU	1	0	0	1	27136977	27136977	2012	Saudi Arabia
83	MAR	1	0	0	1	32526800	32526800	2012	Morocco
84	IDN	3	0	1	1	237641326	79213775	2012	Indonesia
85	IND	8	0	2	4	1241491960	155186495	2012	India
1	JAM	32	6	3	2	2705827	84557	2008	Jamaica
2	NLD	2	0	1	0	227049	113524	2008	Netherlands Antilles
3	BHM	3	0	1	1	353658	117886	2008	Bahamas
4	ISL	2	0	1	0	319575	159787	2008	Iceland
5	SVN	10	1	2	2	2057540	205754	2008	Slovenia
6	NOR	24	3	5	2	5005700	208570	2008	Norway
7	EST	6	1	1	0	1318005	219667	2008	Estonia
8	AUS	103	14	15	17	22880619	222141	2008	Australia
9	MNG	12	2	2	0	2736800	228066	2008	Mongolia
10	NZL	19	3	1	5	4432620	233295	2008	New Zealand
11	BLR	36	4	5	10	9461400	262816	2008	Belarus
12	CUB	41	2	11	11	11241161	274174	2008	Cuba
