Sport,Event,EventType,EventType,Gold,NameOfGoldMedalWinner,Silver,NameOfSilverMedalWinner,Bronze,NameOfBronzeMedalWinner
Archery,Men's Individual,Individual,Male,SouthKorea,Ku Bon-chan,France,Jean-Charles Valladont,UnitedStates,Brady Ellison
Archery,Men's team,Team,Male,SouthKorea,Ku Bon-chan,UnitedStates,Brady Ellison,Australia,Alec Potts
Archery,Men's team,Team,Male,SouthKorea,Lee Seung-yun,UnitedStates,Zach Garrett,Australia,Ryan Tyack
Archery,Men's team,Team,Male,SouthKorea,Kim Woo-jin,UnitedStates,Jake Kaminski,Australia,Taylor Worth
Archery,Women's individual,Individual,Female,SouthKorea,Chang Hye-jin,Germany,Lisa Unruh,SouthKorea,Ki Bo-bae
Archery,Women's team,Team,Female,SouthKorea,Chang Hye-jin,Russia,Tuyana Dashidorzhieva,ChineseTaipei,Le Chien-ying
Archery,Women's team,Team,Female,SouthKorea,Choi Mi-sun,Russia,Ksenia Perova,ChineseTaipei,Lin Shih-chia
Archery,Women's team,Team,Female,SouthKorea,Ki Bo-bae,Russia,Inna Stepanova,ChineseTaipei,Tan Ya-ting
Athletics,100 metres,Individual,Male,Jamaica,Usain Bolt,UnitedStates,Justin Gatlin,Canada,Andre De Grasse
Athletics,200 metres,Individual,Male,Jamaica,Usain Bolt,Canada,Andre De Grasse,France,Christophe Lemaitre
Athletics,400 metres,Individual,Male,SouthAfrica,Wayde van Niekerk,Grenada,Kirani James,UnitedStates,LaShawn Merritt
Athletics,800 metres,Individual,Male,Kenya,David Rudisha,Algeria,Taoufik Makhloufi,UnitedStates,Clayton Murphy
Athletics,1500 metres,Individual,Male,UnitedStates,"Matthew Centrowitz, Jr.",Algeria,Taoufik Makhloufi,NewZealand,Nick Willis
Athletics,5000 metres,Individual,Male,GreatBritain,Mo Farah,UnitedStates,Paul Kipkemoi Chelimo,Ethiopia,Hagos Gebrhiwet
Athletics,"10,000 metres",Individual,Male,GreatBritain,Mo Farah,Kenya,Paul Tanui,Ethiopia,Tamirat Tola
Athletics,110 metres hurdles,Individual,Male,Jamaica,Omar McLeod,Spain,Orlando Ortega,Spain,Dimitri Bascou
Athletics,400 metres hurdles,Individual,Male,UnitedStates,Kerron Clement,Kenya,Boniface Mucheru Tumuti,Turkey,Yasmani Copello
Athletics,3000 metres steeplechase,Individual,Male,Kenya,Conseslus Kipruto,UnitedStates,Evan Jager,France,Mahiedine Mekhissi-Benabbad
Athletics,4×100 metres relay,Team,Male,Jamaica,Asafa Powell,Japan,Ryota Yamagata,Canada,Akeem Haynes
Athletics,4×100 metres relay,Team,Male,Jamaica,Yohan Blake,Japan,Shota Iizuka,Canada,Aaron Brown
Athletics,4×100 metres relay,Team,Male,Jamaica,Nickel Ashmeade,Japan,Yoshihide Kiryu,Canada,Brendon Rodney
Athletics,4×100 metres relay,Team,Male,Jamaica,Usain Bolt,Japan,Asuka Cambridge,Canada,Andre De Grasse
Athletics,4×100 metres relay,Team,Male,Jamaica,Jevaughn Minzie,NoMedal,NoMedal,Canada,Mobolade Ajomale
Athletics,4×100 metres relay,Team,Male,Jamaica,Kemar Bailey-Cole,NoMedal,NoMedal,NoMedal,NoMedal
Athletics,4×400 metres relay,Team,Male,UnitedStates,Arman Hall,Jamaica,Peter Matthews,Bahamas,Alonzo Russell
Athletics,4×400 metres relay,Team,Male,UnitedStates,Tony McQuay,Jamaica,Nathon Allen,Bahamas,Michael Mathieu
Athletics,4×400 metres relay,Team,Male,UnitedStates,Gil Roberts,Jamaica,Fitzroy Dunkley,Bahamas,Steven Gardiner
Athletics,4×400 metres relay,Team,Male,UnitedStates,LaShawn Merritt,Jamaica,Javon Francis,Bahamas,Chris Brown
Athletics,4×400 metres relay,Team,Male,UnitedStates,Kyle Clemons,Jamaica,Rusheen McDonald,Bahamas,Stephen Newbold
Athletics,4×400 metres relay,Team,Male,UnitedStates,David Verburg,NoMedal,NoMedal,NoMedal,NoMedal
Athletics,Marathon,Individual,Male,Kenya,Eliud Kipchoge,Ethiopia,Feyisa Lilesa,UnitedStates,Galen Rupp
Athletics,20 kilometres walk,Individual,Male,China,Wang Zhen,China,Cai Zelin,Australia,Dane Bird-Smith
Athletics,50 kilometres walk,Individual,Male,Slovakia,Matej Tóth,Australia,Jared Tallent,Japan,Hirooki Arai
